,reviewerID,asin,overall,unixReviewTime,fullReview,itemMetadata
0,A0072041HVZ3465DXUOR,B000V9AUC8,5,1407024000,Review summary: Five Stars. Review corpus: This song is a must for your Love Songs collection.,
1,A0072041HVZ3465DXUOR,B000VZWMZ0,5,1407024000,Review summary: Modern alternative music at its best. This song is a must for your portable .... Review corpus: Modern alternative music at its best.  This song is a must for your portable electronic player's playlist.,
2,A0072041HVZ3465DXUOR,B000W1ZDT0,4,1407024000,"Review summary: Although this song is considered seminal for the rave scene .... Review corpus: Although this song is considered seminal for the rave scene, the recording lacks the audio strength to really get the party rocking.",
3,A0072041HVZ3465DXUOR,B000WLOMUQ,5,1407024000,Review summary: Five Stars. Review corpus: This song is a must for your portable electronic Christmas playlist.,
4,A0072041HVZ3465DXUOR,B0011Z74B6,5,1407024000,Review summary: Modern alternative music at its best. This song is a must for your portable .... Review corpus: Modern alternative music at its best.  This song is a must for your portable electronic player's playlist.,
5,A0072041HVZ3465DXUOR,B00124DECO,4,1407024000,"Review summary: Great music from a famous entertainer and Hawaii statesman. Review corpus: Great music from a famous entertainer and Hawaii statesman.  Live audio recording could use more bass, but what do you expect from the days of Hi-Fi.",
6,A0072041HVZ3465DXUOR,B00136NLFQ,5,1407024000,Review summary: Five Stars. Review corpus: Memorable movie soundtrack music from a famous composer/conductor that's a must for portable electronic playlists.,
7,A0072041HVZ3465DXUOR,B001BIMMZ6,5,1407024000,Review summary: Modern alternative music at its best. This song is a must for your portable .... Review corpus: Modern alternative music at its best.  This song is a must for your portable electronic player's playlist.,
8,A0072041HVZ3465DXUOR,B001HEZVDE,5,1407024000,"Review summary: If you liked the HBO mini-series ""true Detectives. Review corpus: If you liked the HBO mini-series ""true Detectives,"" you'll love this song.  It's very reminiscent of a young Johnny Cash and his wife.  Greta listening music.",
9,A0072041HVZ3465DXUOR,B001NGYRRM,5,1407024000,Review summary: Modern alternative music at its best. This song is a must for your portable .... Review corpus: Modern alternative music at its best.  This song is a must for your portable electronic player's playlist.,
10,A0072041HVZ3465DXUOR,B002DRXHNU,5,1407024000,Review summary: Five Stars. Review corpus: This song is a must for your Love Songs collection.,
